ID|group|gender|gene_expression
S109|control|F|0.5247904593050248
S684|control|F|0.5835681921923933
S255|case|M|1.432617053631024
S900|control|M|0.191785663642014
S681|control|F|1.6657471427633022
S157|control|M|2.222351892819166
S501|case|M|0.49140511038230306
S694|control|F|0.42944323475779794
S129|case|F|0.9470000875277897
S660|case|M|1.0422303156554693
S303|control|F|1.9902251779416218
S532|control|F|0.4624475214492091
S531|control|M|0.7306149609776005
S814|control|M|0.44455402104774494
S818|case|F|1.909328705489963
S569|case|F|1.4447791682281104
S559|control|F|0.1488357924055201
S544|case|F|1.0116911321466773
S318|control|F|1.4540746188551856
S738|control|F|0.4316192414820097
S264|control|F|0.36449992778594004
S59|control|F|0.21802913575079086
S324|case|F|1.007780312326017
S224|case|F|1.1453411725194331
S52|control|F|0.21701268487490785
S704|control|F|0.243872143006352
S16|control|M|1.202059134280659
S250|case|M|0.8013828451697619
S368|control|F|0.08052581516742487
S142|control|F|1.1570255071056506
S415|case|M|2.2878548053547254
S328|case|F|0.793285726349052
S717|control|M|1.1102807115150688
S795|case|M|0.5107602886244955
S83|case|F|1.7111525356625492
S522|case|F|1.5849704550281927
S206|control|M|0.45216110024049966
S450|control|M|1.111166836007795
S523|case|M|1.2801077134723546
S993|control|M|1.011886741683785
S852|case|F|2.168735548359057
S78|case|M|1.0323769195766404
S487|control|F|1.9463578933751124
S862|case|M|0.9622060371955792
S208|control|M|0.7349613493331939
S360|control|F|0.31718227352385486
S227|control|M|0.521309521503057
S462|control|F|0.6850682692612984
S84|case|M|0.2645126491234604
S691|control|M|0.1013276971744137
S526|case|M|2.451081765352423
S808|control|F|1.3740851199679849
S236|control|F|1.9420974039254406
S490|case|F|0.5208433065830771
S106|control|F|0.29369400128057355
S270|control|M|1.1611027003214238
S699|control|M|0.18418444627337344
S11|case|M|1.2241870889148365
S381|control|M|0.05714521662987906
S46|case|M|0.24238316380735953
S891|control|F|0.5928449205294791
S504|case|F|0.6855934745301442
S481|control|F|0.8431449049981854
S631|control|F|0.977200585235367
S957|control|F|0.42295513678374647
S140|case|F|1.0162911893109232
S85|control|F|0.6169373887759316
S911|control|F|1.6034479370021515
S859|case|M|0.8465176530098517
S404|control|M|0.11286758469316749
S44|case|F|1.4281624766167804
S189|control|M|0.32341171753539705
S672|control|F|0.6000011237263655
S851|control|F|0.6993256305192007
S428|case|F|1.3918101878707516
S103|case|F|1.661936018620973
S716|control|F|1.6665222317499337
S563|control|M|2.3271358366671064
S810|control|F|0.293978810869796
S331|control|F|0.2904062378989407
S475|case|F|0.6656263154046731
S711|control|M|1.2377251745984734
S228|control|F|2.247670498734646
S425|control|F|0.8278626071357317
S605|control|F|0.5463176798340194
S867|case|M|0.6744792239187686
S705|case|F|0.3658053808134704
S596|control|F|0.48896592635138014
S484|control|F|0.5061057303811878
S857|control|F|0.4780693451608149
S534|case|F|0.7560544759215054
S114|control|M|1.7456222599771811
S840|control|M|0.2764031392322462
S72|case|F|1.0551685054537445
S341|case|M|0.43389843317054216
S261|control|M|0.2883211413416526
S657|control|F|2.4299241151664193
S860|case|M|0.9437860335445118
S800|control|F|1.5739087604805166
S603|control|F|1.8446656458127817
S981|case|F|0.5702999412350361
S834|case|M|0.8035747428539863
S724|control|F|0.3458912393985382
S718|control|M|0.4046857500350773
S289|control|M|0.9424300183826243
S56|control|M|1.3976110854693393
S785|control|F|1.917607307200684
S700|case|F|0.2661365527234416
S218|control|M|0.05865701068381101
S291|control|F|1.2880576967085509
S656|control|M|1.3440913069465328
S112|case|F|0.8521958728018534
S1|control|M|1.732328772806913
S146|case|M|2.10986396441131
S575|control|F|0.48683871507241
S838|case|M|1.4186470222817698
S929|control|F|1.3485967435376727
S452|control|M|0.6431211498827752
S95|control|F|0.517413235586291
S593|control|M|0.20458184913373703
S437|control|M|1.0016086374538127
S637|control|M|1.1321855204429656
S499|control|F|0.1637477333969009
S127|control|F|0.043402624073622796
S678|case|F|0.35722687855892177
S411|case|F|1.1883281873294524
S213|case|M|0.31003179409992077
S307|control|F|0.6692866056226255
S231|case|M|1.1688838532180355
S546|case|F|1.2775004417114562
S982|case|F|0.5004421536993171
S898|control|F|2.1304276198753866
S925|control|F|0.293705121034891
S260|control|F|0.6332427548510853
S974|case|F|2.192524865849589
S759|control|M|0.47178540469854113
S354|case|F|0.6795073536306222
S552|case|F|0.9912884811916232
S0|case|M|0.20160935988016804
S42|control|F|0.144125637144899
S479|control|M|0.8118675338032718
S480|case|M|1.7878250236478799
S956|case|M|0.7318714176468808
S984|control|F|0.05065359767627282
S38|case|M|0.3597738685506093
S971|control|F|0.6183026969502475
S632|case|F|2.169629237473701
S214|control|F|0.07767256065381194
S832|control|F|0.525133484796404
S310|control|M|0.2731474416382585
S779|control|F|0.09495812107256493
S401|control|F|0.6932727199892028
S288|case|F|0.7005052000282891
S497|control|F|0.5928049050336361
S978|control|M|0.534371008572016
S498|control|M|0.6744982082138554
S163|control|F|0.15397449643187228
S505|control|M|0.6947691076684936
S247|control|M|0.07015514137809335
S108|case|F|0.7663063507605516
S465|control|F|1.10297649153192
S812|control|M|0.96509973093112
S320|control|M|0.629113711904119
S299|case|M|0.5511409760308696
S868|control|M|0.19999644117082113
S35|control|F|2.3468523194672315
S297|case|M|0.1251749616567724
S43|control|F|1.6015768534286001
S568|control|F|1.1617710010275832
S280|case|M|0.4365620895862577
S472|control|F|0.19607513640820118
S926|control|F|1.3863006265641094
S137|case|F|2.783725092602639
S692|case|F|2.305163591456788
S64|control|M|0.13150687349591833
S446|control|M|0.9121294336039357
S121|control|M|0.8032272189153009
S703|control|F|0.08973589812622555
S922|case|F|2.3219910814641715
S8|control|M|0.07515669535378322
S663|case|M|0.6977890744916084
S780|control|F|0.8178410797045471
S24|case|M|0.24146576944910825
S486|control|F|0.49614493298796986
S386|control|M|0.14946911280219208
S721|control|F|0.8130656271411136
S463|case|F|2.1480799655452074
S883|control|F|0.10745017472528758
S259|control|F|0.6091088195111602
S802|control|F|1.3565708002954784
S619|control|F|0.32439651328217317
S412|control|F|0.09216286029258255
S203|control|F|0.3321246677077916
S710|control|F|0.04969068734774953
S124|control|M|0.9503552755979184
S509|control|M|0.4956312649234257
S249|control|M|0.4339298457733209
S731|control|F|0.7562265474880904
S542|control|M|1.4007659332905886
S133|control|F|1.0353512398485383
S432|control|F|0.5275958226841123
S182|control|F|1.2609529829029174
S15|case|F|0.27814770371485653
S905|case|F|0.9237128286562284
S31|case|F|0.848344625920533
S915|control|M|1.1457757726269306
S622|control|F|0.02624327274314932
S654|control|M|0.33337224075089017
S909|case|F|0.8485242125822707
S73|case|M|0.8569202074101159
S459|control|M|0.5715585626743557
S395|control|M|0.15239549039802894
S949|control|F|0.1748967306695466
S967|case|M|2.972789901506043
S36|case|F|0.9685324707899841
S824|control|F|1.352056059364993
S222|case|M|1.3945309538031763
S712|case|F|0.6568716369542668
S477|control|M|0.45811570698143306
S777|case|F|1.7690287397451483
S405|case|F|1.7961062878557834
S30|case|M|2.3649693553614806
S284|control|F|0.6590815566614244
S312|control|F|1.437947810829039
S115|case|F|3.081141283746263
S326|control|M|0.417768334088144
S398|control|F|1.3591357321032653
S216|control|M|0.40875845592341137
S210|control|F|0.4613006830617724
S874|control|M|0.12392848032862416
S671|control|F|0.9166537757010784
S701|case|M|0.05305811813847495
S610|case|M|0.87137025960438
S209|control|F|1.6158463233109288
S512|control|M|2.1661292366043408
S625|control|F|1.096953535982181
S308|control|M|0.10705061344789767
S903|control|F|0.8925707274553603
S527|control|M|1.3208169713292162
S33|control|M|1.203392771714666
S385|control|M|0.29797476176677706
S924|control|F|0.0810360023314246
S677|case|F|0.8047726267667891
S277|control|F|0.4863204748536305
S26|control|M|0.6444627167699369
S420|control|F|1.4264515729944252
S847|control|M|0.8223295525257495
S332|control|M|0.07206887236122919
S188|case|F|1.5382105055536437
S429|control|F|0.1490896018047243
S485|control|F|1.1851126125190485
S597|control|F|0.6273601950771206
S94|control|F|0.5576919027438733
S830|case|F|2.161572895722054
S257|case|F|0.38031051844940855
S791|control|M|0.7442665901614778
S558|control|M|2.1026670402033165
S550|control|F|0.109593862444481
S707|control|F|0.27617983202460994
S366|case|M|1.4132589294226607
S754|control|M|0.4500785116534504
S384|case|M|2.2728608372978742
S565|control|F|0.32800746304479456
S390|control|F|0.3233268871986967
S807|control|F|2.4694943316567706
S713|case|F|0.6668983324833613
S858|control|F|0.21971410812223482
S345|control|M|0.752904217241782
S668|control|F|0.9758957562528227
S419|control|F|0.23123636467815087
S769|control|F|0.4846867180200508
S863|control|F|1.343720640380341
S23|control|F|1.1209552818626736
S100|case|F|1.1699142004326737
S973|control|M|1.3113377595818125
S756|control|F|0.14154459919420523
S693|control|F|0.376464827505512
S34|control|M|0.44771682913027583
S770|control|F|0.2534500455311038
S57|control|F|0.2539865123877734
S950|control|M|0.0813949485045678
S122|control|F|0.866980589161626
S198|control|F|0.5712013269220679
S170|case|M|0.4335230113685645
S315|control|M|0.012443973615274212
S752|case|F|1.2675391132256453
S616|control|M|0.18109497809895572
S230|control|F|0.4067772464627033
S456|case|F|1.8239775040045805
S696|control|M|0.7699112593657049
S880|case|M|1.6324124864277176
S821|control|F|0.08851353692863592
S225|case|M|1.6790885037255343
S6|control|F|0.6321809451455472
S979|control|M|0.40445143735614064
S771|control|F|1.8792113628250076
S478|case|F|0.6880113336578262
S871|control|M|0.13397904011610143
S226|control|F|0.13773181030846365
S87|control|M|1.1488804658353529
S90|control|M|0.8216030556341309
S316|case|M|2.118582824952108
S197|control|F|0.04494641443959771
S969|control|F|0.4393555479871558
S952|control|F|2.8294678776686135
S135|case|F|0.9484356764466781
S45|case|M|0.9279155191306001
S819|control|M|0.24410925702219752
S54|control|F|0.24682737409104974
S555|case|M|0.5429547482651612
S382|control|F|0.3942049288712569
S676|case|F|1.5547647026173836
S28|control|F|0.9363711279398302
S996|control|M|0.05173707052230225
S787|control|F|2.2380428092745683
S113|control|F|1.642975769942476
S132|case|F|0.7586695806475748
S988|control|F|1.4917714117942809
S927|control|F|1.4096611739578377
S138|control|F|0.045630967993659476
S102|control|F|0.3497487713757389
S184|case|F|1.5272790403783465
S131|case|F|0.7717323830715869
S333|case|M|1.1902714528373302
S918|control|M|0.6939129844873815
S306|control|F|0.22353270284083096
S645|case|F|1.060291294757319
S248|control|F|0.19407932349708823
S117|control|F|0.04832976138918701
S901|case|F|0.6441110453390572
S111|control|M|0.2634879416488879
S907|case|M|0.5775009927531722
S647|control|F|0.7648622888701249
S502|case|F|1.778347895104837
S358|control|M|0.7306308065340971
S966|control|F|1.9478762048232219
S635|control|M|0.9988452264550074
S304|control|F|0.16377510448754942
S658|case|F|0.9243801271467472
S336|case|M|0.32130327496649513
S732|case|F|0.9653719685342139
S776|case|M|1.7504424909447414
S784|case|F|1.227210533743912
S422|case|F|2.1792929197065556
S271|control|F|0.406204910730974
S350|control|F|0.10562297889407303
S244|control|F|1.6770503619995774
S989|case|M|0.552119385439124
S817|control|M|0.47348162456204335
S886|control|F|0.5778464643966073
S181|control|M|0.739307148153596
S638|control|F|1.648369971062715
S878|control|F|0.02023524056928312
S913|case|F|0.9951269779510309
S145|control|F|1.114136837838308
S179|control|F|2.5983470907816923
S958|control|M|0.23534749636453497
S939|control|F|1.4934469891958064
S766|case|M|1.1684488152351817
S457|case|M|1.4588656148579702
S581|case|M|1.8065699194276004
S629|control|F|0.33983651935980025
S809|case|F|0.13057918778504862
S553|control|M|0.8457997582333351
S892|case|F|1.0208662336486853
S325|control|F|1.461134205678602
S698|control|F|1.8060096601320705
S571|case|M|0.5093777487208015
S473|control|F|0.08261176235781813
S975|control|M|1.2291559521654345
S882|case|F|0.5821033452738431
S496|case|F|0.6965618412028576
S254|case|F|1.5797279329394835
S709|case|F|1.0310041489159474
S305|control|F|0.34186107601917926
S410|control|F|0.24881771394589378
S735|case|F|0.2737526519175555
S251|control|F|1.0323056540878046
S445|control|M|0.3112780392498187
S936|control|F|1.3415695442064177
S680|control|M|0.4746901663467317
S954|control|F|1.9216562118243787
S491|case|F|1.129569118920304
S430|case|F|0.6612019073232309
S741|case|M|1.4190271267773946
S266|case|F|0.9365206605020623
S338|case|F|0.5448850087553199
S941|control|F|0.17762213563952828
S149|case|M|1.1324585683675827
S207|control|M|0.9106413582900725
S869|case|M|0.872666524770441
S760|case|F|2.580221560778051
S192|case|F|1.820163957702265
S53|control|F|0.6134140976738682
S547|control|F|0.21788014576413975
S739|control|F|0.9565118355018898
S849|control|M|0.43089337314275566
S826|control|F|1.0308172068344483
S513|control|M|0.4937070582380751
S418|control|M|1.7248000937514139
S590|control|F|1.6273347105667832
S435|case|F|1.5255759830495297
S12|control|F|0.5272267060554237
S243|control|F|1.5628559537438766
S311|control|F|0.5239238863916007
S636|control|M|2.735131063358429
S177|control|M|0.6593895053731812
S361|case|F|1.1034937628329542
S363|case|M|1.6149005145973392
S439|control|F|1.8017599221828842
S841|case|M|0.8320562266851557
S154|control|F|1.9942917295076297
S514|case|F|1.80898563511735
S185|control|F|0.6867747685020508
S675|control|F|1.7565702178504414
S594|case|F|0.9116206696884843
S393|case|F|1.087495911668367
S962|control|F|0.36058411683440944
S688|control|F|0.5596726882866925
S281|case|F|1.923588962252515
S82|control|F|0.7307485193562825
S972|control|M|0.3597083846525625
S240|control|M|0.877575956704695
S799|control|F|0.7327332104501589
S300|case|M|1.7597949883369959
S327|case|F|1.7315209177515927
S110|case|M|1.01599372713649
S25|control|F|0.7823628502816364
S272|case|M|1.5977471368399363
S997|control|F|0.15256176518669662
S205|control|M|1.6171057084277893
S245|control|F|0.284492123402773
S761|control|F|0.0926606324860704
S334|control|F|0.25986839639123405
S173|control|F|0.20179398503428156
S953|case|F|1.2152444996846918
S417|control|F|0.24477023699078196
S441|case|M|1.283682061637965
S282|control|F|0.7367302598990435
S18|control|M|0.34711479678137125
S921|control|F|2.219321864260588
S646|control|M|0.3201316661262689
S294|case|F|0.4787284323174718
S786|case|F|1.9202249478037572
S80|control|F|1.1042260661046068
S854|case|M|1.4074020187849512
S525|control|F|0.44681973874522646
S469|case|M|0.5261819450683649
S89|case|F|0.7280613221137404
S983|control|F|0.94770598456244
S991|control|M|0.5863840336512093
S930|case|F|0.5019746718289266
S99|control|F|0.924124116882934
S453|case|F|1.6321573975956531
S263|control|M|0.361135653134429
S164|case|F|1.2428454058975194
S797|control|F|1.2820154523771115
S126|control|F|0.2625541864602728
S601|control|F|1.5452645385694501
S985|case|F|1.1759824427846581
S347|control|F|0.1793772186377017
S506|case|F|0.477195539712861
S421|control|M|0.8882636847075541
S464|control|F|1.1757659252654769
S651|control|F|0.3245279776799612
S356|control|F|0.40017510446104876
S22|case|M|1.3496922753210647
S79|control|M|0.5978239177976726
S582|control|F|0.049856988159089934
S528|control|M|0.8171111591728663
S71|case|M|1.6296343459229579
S644|control|F|0.07556447299903721
S964|control|F|1.3604656290956556
S885|control|F|0.17873584720347258
S379|control|F|1.0839124366578459
S839|control|M|0.33284103089470507
S897|case|F|1.2199950933036774
S242|control|M|0.6179670551818514
S269|case|F|1.5037706365361911
S253|control|F|0.08750154475954364
S319|control|M|0.19115222696845666
S912|control|F|1.3240103891662176
S158|control|M|0.4190491128452728
S500|case|F|0.3013450888018427
S423|case|M|1.3440593732965511
S750|case|F|0.9922642593222936
S144|case|M|0.7040929760463734
S965|control|F|0.08177120421057445
S608|case|F|0.6569760754201357
S93|case|F|0.40649452669350583
S403|control|M|0.16594855709692002
S674|control|F|0.28969863919580446
S714|case|F|1.5805678732452595
S10|control|F|0.2487570316830955
S234|control|F|1.2852772070735081
S344|case|M|0.6643043435695709
S447|control|F|1.367838607761527
S340|control|F|0.5265050238412569
S298|control|M|0.985162537712823
S583|case|F|1.8115282594672002
S763|control|F|1.0477278363598581
S634|control|F|0.8909785288761352
S204|control|M|1.0882749623546712
S618|control|F|0.6254912493293926
S751|control|M|0.24063034084822732
S846|control|F|0.4546281779356666
S615|case|M|0.6509827482839983
S887|control|M|1.7832211592381741
S591|case|M|0.42743438976217807
S689|control|M|0.46071576269873665
S948|case|F|0.995377076705556
S424|control|F|1.2916008098903022
S746|case|F|1.4979793609337155
S650|control|F|2.241871884836108
S579|control|F|0.43992240898870916
S359|control|F|1.063943987548127
